N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
0,COFRADIA DE HIDALGO,YI,SITE,18.902717,-103.791932,0,N/A,N/A,N/A,0,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,COFRADIA DE HIDALGO,CFE,PC001,18.902391,-103.791994,0,T1-H1-C01,16,N/A,0,SITE,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-19.88,-0.60
2,COFRADIA DE HIDALGO,CFE,PC002,18.901796,-103.792092,0,T1-H2-C01,16,N/A,0,PC001,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-22.1,9.50
3,COFRADIA DE HIDALGO,CFE,PC003,18.902343,-103.791461,0,N/A,N/A,N/A,0,PC001,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
4,COFRADIA DE HIDALGO,CFE,PC004,18.902311,-103.79091,0,T1-H1-C02,16,N/A,0,PC003,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-18,-17.41,-14.88
5,COFRADIA DE HIDALGO,CFE,PC005,18.901684,-103.791011,0,T1-H1-C07,16,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-20.66,3.19
6,COFRADIA DE HIDALGO,CFE,PC006,18.901634,-103.790645,0,N/A,N/A,N/A,0,PC005,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
7,COFRADIA DE HIDALGO,CFE,PC007,18.901601,-103.790408,0,N/A,N/A,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
8,COFRADIA DE HIDALGO,CFE,PC008,18.900938,-103.78983,0,T1-H1-C08,16,N/A,0,PC007,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-20.97,4.63
9,COFRADIA DE HIDALGO,CFE,PC009,18.902526,-103.790885,0,N/A,N/A,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
10,COFRADIA DE HIDALGO,CFE,PC010,18.902828,-103.79082,0,T1-H1-C03,16,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-21.77,8.13
11,COFRADIA DE HIDALGO,CFE,PC011,18.9035,-103.790462,0,T1-H1-C06,16,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-17.71,-12.93
12,COFRADIA DE HIDALGO,CFE,PC012,18.902876,-103.7914,0,N/A,N/A,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
13,COFRADIA DE HIDALGO,CFE,PC013,18.902938,-103.79196,0,T1-H1-C04,16,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-19.81,-0.96
