N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,EMPALME,CAJA DISTRIBUCIÓN,REMATE,POTENCIA
0,COFRADIA DE HIDALGO,YI,SITE,18.902717,-103.791932,0,N/A,N/A,0,-,-,-,-,-,-,-,-,-,N/A
1,COFRADIA DE HIDALGO,CFE,PC001,18.902391,-103.791994,0,T1-H1-C01,N/A,0,SITE,-,-,-,-,-,-,-,-,
2,COFRADIA DE HIDALGO,CFE,PC002,18.901796,-103.792092,0,T1-H2-C01,N/A,0,PC001,-,-,-,-,-,-,-,-,
3,COFRADIA DE HIDALGO,CFE,PC003,18.902343,-103.791461,0,N/A,N/A,0,PC001,-,-,-,-,-,-,-,-,N/A
4,COFRADIA DE HIDALGO,CFE,PC004,18.902311,-103.79091,0,T1-H1-C02,N/A,0,PC003,-,-,-,-,-,-,-,-,
5,COFRADIA DE HIDALGO,CFE,PC005,18.901684,-103.791011,0,T1-H1-C07,N/A,0,PC004,-,-,-,-,-,-,-,-,
6,COFRADIA DE HIDALGO,CFE,PC006,18.901634,-103.790645,0,N/A,N/A,0,PC005,-,-,-,-,-,-,-,-,N/A
7,COFRADIA DE HIDALGO,CFE,PC007,18.901601,-103.790408,0,N/A,N/A,0,PC006,-,-,-,-,-,-,-,-,N/A
8,COFRADIA DE HIDALGO,CFE,PC008,18.900938,-103.78983,0,T1-H1-C08,N/A,0,PC007,-,-,-,-,-,-,-,-,
9,COFRADIA DE HIDALGO,CFE,PC009,18.902526,-103.790885,0,N/A,N/A,0,PC004,-,-,-,-,-,-,-,-,N/A
10,COFRADIA DE HIDALGO,CFE,PC010,18.902828,-103.79082,0,T1-H1-C03,N/A,0,PC009,-,-,-,-,-,-,-,-,
11,COFRADIA DE HIDALGO,CFE,PC011,18.9035,-103.790462,0,T1-H1-C06,N/A,0,PC010,-,-,-,-,-,-,-,-,
12,COFRADIA DE HIDALGO,CFE,PC012,18.902876,-103.7914,0,N/A,N/A,0,PC010,-,-,-,-,-,-,-,-,N/A
13,COFRADIA DE HIDALGO,CFE,PC013,18.902938,-103.79196,0,T1-H1-C04,N/A,0,PC012,-,-,-,-,-,-,-,-,
14,COFRADIA DE HIDALGO,CFE,PC014,18.903446,-103.791925,0,N/A,N/A,0,PC013,-,-,-,-,-,-,-,-,N/A
15,COFRADIA DE HIDALGO,CFE,PC015,18.903594,-103.791959,0,T1-H1-C05,N/A,0,PC014,-,-,-,-,-,-,-,-,
16,COFRADIA DE HIDALGO,CFE,PC016,18.901836,-103.792708,0,N/A,N/A,0,PC002,-,-,-,-,-,-,-,-,N/A
17,COFRADIA DE HIDALGO,CFE,PC017,18.901859,-103.793212,0,N/A,N/A,0,PC018,-,-,-,-,-,-,-,-,N/A
18,COFRADIA DE HIDALGO,CFE,PC018,18.901941,-103.793833,0,T1-H2-C02,N/A,0,PC016,-,-,-,-,-,-,-,-,
19,COFRADIA DE HIDALGO,CFE,PC019,18.901986,-103.794355,0,N/A,N/A,0,PC018,-,-,-,-,-,-,-,-,N/A
20,COFRADIA DE HIDALGO,CFE,PC020,18.901946,-103.793302,0,T1-H2-C07,N/A,0,PC019,-,-,-,-,-,-,-,-,
21,COFRADIA DE HIDALGO,CFE,PC021,18.901321,-103.793307,0,N/A,N/A,0,PC017,-,-,-,-,-,-,-,-,N/A
22,COFRADIA DE HIDALGO,CFE,PC022,18.901066,-103.793657,0,N/A,N/A,0,PC021,-,-,-,-,-,-,-,-,N/A
23,COFRADIA DE HIDALGO,CFE,PC023,18.900685,-103.793864,0,T1-H2-C06,N/A,0,PC022,-,-,-,-,-,-,-,-,
24,COFRADIA DE HIDALGO,CFE,PC024,18.902513,-103.79322,0,T1-H2-C03,N/A,0,PC018,-,-,-,-,-,-,-,-,
25,COFRADIA DE HIDALGO,CFE,PC025,18.903084,-103.793177,0,T1-H2-C04,N/A,0,PC024,-,-,-,-,-,-,-,-,
26,COFRADIA DE HIDALGO,CFE,PC026,18.903259,-103.79318,0,N/A,N/A,0,PC025,-,-,-,-,-,-,-,-,N/A
27,COFRADIA DE HIDALGO,CFE,PC027,18.903453,-103.793215,0,N/A,N/A,0,PC026,-,-,-,-,-,-,-,-,N/A
28,COFRADIA DE HIDALGO,CFE,PC028,18.903566,-103.793313,0,T1-H2-C05,N/A,0,PC027,-,-,-,-,-,-,-,-,
