N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
0,EL CHANAL,CFE,PC132,19.29239,-103.70753,0,N/A,N/A,CE-H4-C1,0,PC131,LISTO,LISTO,N/A,N/A,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,N/A
1,EL CHANAL,CFE,PC001,19.29270,-103.70740,0,N/A,N/A,N/A,0,PC132,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.8,-,-
2,EL CHANAL,CFE,PC002,19.293,-103.7072,0,T1-H2-C01,16,N/A,0,PC001,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
3,EL CHANAL,CFE,PC003,19.2932,-103.707,0,N/A,N/A,N/A,0,PC002,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
4,EL CHANAL,CFE,PC004,19.2935,-103.7067,0,T1-H2-C03,8,N/A,0,PC003,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.6,-,-
5,EL CHANAL,CFE,PC005,19.294,-103.7064,0,N/A,N/A,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
6,EL CHANAL,CFE,PC006,19.2942,-103.7061,0,N/A,N/A,N/A,0,PC005,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
7,EL CHANAL,CFE,PME01,19.2944,-103.7058,0,T1-H3-C01,16,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-,-
8,EL CHANAL,CFE,PC007,19.2945,-103.7056,0,N/A,N/A,N/A,0,PME01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
9,EL CHANAL,CFE,PC008,19.2949,-103.7051,0,T1-H2-C04,16,N/A,0,PC007,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-,-
10,EL CHANAL,CFE,PC009,19.2953,-103.7047,0,N/A,N/A,N/A,0,PC008,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
11,EL CHANAL,CFE,PC010,19.2957,-103.7044,0,T1-H2-C05,16,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.4,-,-
12,EL CHANAL,CFE,PC011,19.296,-103.7039,0,N/A,N/A,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
13,EL CHANAL,CFE,PC012,19.2963,-103.7032,0,T1-H2-C06,8,N/A,0,PC011,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.3,-,-
14,EL CHANAL,CFE,PC013,19.2964,-103.7027,0,N/A,N/A,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
15,EL CHANAL,CFE,PC014,19.2966,-103.7021,0,T1-H2-C07,16,N/A,0,PC013,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.7,-,-
16,EL CHANAL,CFE,PC015,19.297,-103.7023,0,T1-H2-C08,16,N/A,0,PC014,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.6,-,-
17,EL CHANAL,CFE,PC016,19.2971,-103.7022,0,N/A,N/A,N/A,0,PC015,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
18,EL CHANAL,CFE,PC017,19.2973,-103.702,0,N/A,N/A,N/A,0,PC016,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
19,EL CHANAL,CFE,PC018,19.2973,-103.7015,0,T1-H2-C09,16,N/A,0,PC017,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.6,-,-
