N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,EMPALME,CAJA DISTRIBUCIÓN,REMATE,POTENCIA
0,EL CHANAL,CFE,PC132,19.29239,-103.70753,0,N/A,CE-H4-C1,0,PC131,,,,,,,,,
1,EL CHANAL,CFE,PC001,19.29270,-103.70740,0,T1-H4-C01,N/A,0,PC132,-,-,-,-,-,-,-,-,
2,EL CHANAL,CFE,PC002,19.293,-103.7072,0,N/A,N/A,0,PC001,-,-,-,-,-,-,-,-,
3,EL CHANAL,CFE,PC003,19.2932,-103.707,0,N/A,N/A,0,PC002,-,-,-,-,-,-,-,-,
4,EL CHANAL,CFE,PC004,19.2935,-103.7067,0,T1-H4-C03,N/A,0,PC003,-,-,-,-,-,-,-,-,
5,EL CHANAL,CFE,PC005,19.294,-103.7064,0,N/A,N/A,0,PC004,-,-,-,-,-,-,-,-,
6,EL CHANAL,CFE,PC006,19.2942,-103.7061,0,N/A,N/A,0,PC005,-,-,-,-,-,-,-,-,
7,EL CHANAL,CFE,PME01,19.2944,-103.7058,0,T1-H5-C01,N/A,0,PC006,-,-,-,-,-,-,-,-,
8,EL CHANAL,CFE,PC007,19.2945,-103.7056,0,N/A,N/A,0,PME01,-,-,-,-,-,-,-,-,
9,EL CHANAL,CFE,PC008,19.2949,-103.7051,0,T1-H4-C04,N/A,0,PC007,-,-,-,-,-,-,-,-,
10,EL CHANAL,CFE,PC009,19.295,-103.705,0,N/A,N/A,0,PC008,-,-,-,-,-,-,-,-,
11,EL CHANAL,CFE,PC010,19.2953,-103.7047,0,N/A,N/A,0,PC009,-,-,-,-,-,-,-,-,
12,EL CHANAL,CFE,PC011,19.2957,-103.7044,0,T1-H4-C05,N/A,0,PC010,-,-,-,-,-,-,-,-,
13,EL CHANAL,CFE,PC012,19.296,-103.7039,0,N/A,N/A,0,PC011,-,-,-,-,-,-,-,-,
14,EL CHANAL,CFE,PC013,19.2963,-103.7032,0,T1-H4-C06,N/A,0,PC012,-,-,-,-,-,-,-,-,
15,EL CHANAL,CFE,PC014,19.2964,-103.7027,0,N/A,N/A,0,PC013,-,-,-,-,-,-,-,-,
16,EL CHANAL,CFE,PC015,19.2966,-103.7021,0,T1-H4-C07,N/A,0,PC014,-,-,-,-,-,-,-,-,
17,EL CHANAL,CFE,PC016,19.297,-103.7023,0,T1-H4-C08,N/A,0,PC015,-,-,-,-,-,-,-,-,
18,EL CHANAL,CFE,PC017,19.2971,-103.7022,0,N/A,N/A,0,PC016,-,-,-,-,-,-,-,-,
19,EL CHANAL,CFE,PC018,19.2973,-103.702,0,N/A,N/A,0,PC017,-,-,-,-,-,-,-,-,
20,EL CHANAL,CFE,PC019,19.2973,-103.7015,0,N/A,N/A,0,PC018,-,-,-,-,-,-,-,-,
21,EL CHANAL,CFE,PC020,19.2973,-103.701,0,T1-H4-C09,N/A,0,PC019,-,-,-,-,-,-,-,-,
22,EL CHANAL,CFE,PC021,19.2923,-103.7078,0,N/A,N/A,0,PC001,-,-,-,-,-,-,-,-,
23,EL CHANAL,CFE,PC022,19.292,-103.708,0,N/A,N/A,0,PC021,-,-,-,-,-,-,-,-,
24,EL CHANAL,CFE,PC023,19.2917,-103.7084,0,N/A,N/A,0,PC022,-,-,-,-,-,-,-,-,
25,EL CHANAL,CFE,PC024,19.2913,-103.7087,0,T1-H4-C02,N/A,0,PC023,-,-,-,-,-,-,-,-,
26,EL CHANAL,CFE,PME02,19.294,-103.7054,0,N/A,N/A,0,PME01,-,-,-,-,-,-,-,-,
27,EL CHANAL,CFE,PC025,19.2937,-103.7052,0,T1-H5-C02,N/A,0,PME02,-,-,-,-,-,-,-,-,
28,EL CHANAL,CFE,PC026,19.2933,-103.7048,0,N/A,N/A,0,PC025,-,-,-,-,-,-,-,-,
29,EL CHANAL,CFE,PC027,19.2931,-103.7046,0,T1-H5-C06,N/A,0,PC026,-,-,-,-,-,-,-,-,
30,EL CHANAL,CFE,PC028,19.2934,-103.7041,0,N/A,N/A,0,PC027,-,-,-,-,-,-,-,-,
31,EL CHANAL,CFE,PC029,19.2937,-103.7038,0,T1-H5-C07,N/A,0,PC028,-,-,-,-,-,-,-,-,
32,EL CHANAL,CFE,PC030,19.294,-103.7035,0,N/A,N/A,0,PC029,-,-,-,-,-,-,-,-,
33,EL CHANAL,CFE,PC031,19.2942,-103.7032,0,N/A,N/A,0,PC030,-,-,-,-,-,-,-,-,
34,EL CHANAL,CFE,PC032,19.2945,-103.7029,0,T1-H5-C08,N/A,0,PC031,-,-,-,-,-,-,-,-,
35,EL CHANAL,CFE,PC033,19.2949,-103.7025,0,N/A,N/A,0,PC032,-,-,-,-,-,-,-,-,
36,EL CHANAL,CFE,PC034,19.2953,-103.7022,0,T1-H5-C09,N/A,0,PC033,-,-,-,-,-,-,-,-,
37,EL CHANAL,CFE,PC035,19.2941,-103.7047,0,N/A,N/A,0,PC025,-,-,-,-,-,-,-,-,
38,EL CHANAL,CFE,PC036,19.2943,-103.7044,0,T1-H5-C03,N/A,0,PC035,-,-,-,-,-,-,-,-,
39,EL CHANAL,CFE,PC037,19.2946,-103.704,0,N/A,N/A,0,PC036,-,-,-,-,-,-,-,-,
40,EL CHANAL,CFE,PC038,19.295,-103.7036,0,T1-H5-C04,N/A,0,PC037,-,-,-,-,-,-,-,-,
