N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
0,ESTAPILLA COLIMA,YI,SITE,18.98002,-103.53112,0,N/A,N/A,N/A,0,-,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
1,ESTAPILLA COLIMA,CFE,PC001,18.97980109,-103.5314007,0,T1-H1-C01,16,N/A,0,SITE,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21,-19.92,0
2,ESTAPILLA COLIMA,CFE,PC002,18.97937849,-103.5316608,0,N/A,N/A,N/A,0,PC001,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
3,ESTAPILLA COLIMA,CFE,PC003,18.97900084,-103.5318921,0,N/A,N/A,N/A,0,PC002,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
4,ESTAPILLA COLIMA,CFE,PC004,18.97859624,-103.5321425,0,T1-H1-C02,8,N/A,0,PC003,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-19.1,-17.66,0
5,ESTAPILLA COLIMA,CFE,PC005,18.97811958,-103.5324221,0,N/A,N/A,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
6,ESTAPILLA COLIMA,CFE,PC006,18.97776,-103.5326532,0,T1-H1-C06,16,N/A,0,PC005,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-20.3,-18.54,0
7,ESTAPILLA COLIMA,CFE,PC007,18.97752088,-103.5321235,0,T1-H2-C01,8,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.9,-21.22,0
8,ESTAPILLA COLIMA,CFE,PC008,18.9772603,-103.5323062,0,N/A,N/A,N/A,0,PC007,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
9,ESTAPILLA COLIMA,CFE,PC009,18.97693031,-103.5317108,0,N/A,N/A,N/A,0,PC008,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
10,ESTAPILLA COLIMA,CFE,PC010,18.97666484,-103.5312762,0,T1-H2-C05,16,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.3,-19.85,0
11,ESTAPILLA COLIMA,CFE,PC011,18.976336,-103.530617,0,T1-H3-C01,8,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.8,-19.5,0
12,ESTAPILLA COLIMA,CFE,PC012,18.97890388,-103.5328989,0,T1-H1-C03,16,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.4,-20.94,0
13,ESTAPILLA COLIMA,H AYUN,PAE01,18.97939017,-103.53264,0,N/A,N/A,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
14,ESTAPILLA COLIMA,CFE,PC013,18.97977218,-103.5323127,0,T1-H1-C04,8,N/A,0,PAE01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.6,-21.5,0
15,ESTAPILLA COLIMA,CFE,PC014,18.97888301,-103.5329853,0,N/A,N/A,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
16,ESTAPILLA COLIMA,CFE,PC015,18.978214,-103.533371,0,T1-H1-C05,8,N/A,0,PC014,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,-21.1,-20.39,0
17,ESTAPILLA COLIMA,CFE,PC016,18.97716656,-103.5330193,0,N/A,N/A,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
18,ESTAPILLA COLIMA,CFE,PC017,18.97666989,-103.5332989,0,T1-H1-C07,16,N/A,0,PC016,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-20.6,-20.12,0
19,ESTAPILLA COLIMA,CFE,PC018,18.9761683,-103.5336074,0,N/A,N/A,N/A,0,PC017,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
20,ESTAPILLA COLIMA,CFE,PC019,18.97561988,-103.5339541,0,T1-H1-C08,16,N/A,0,PC018,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.4,-19.21,0
21,ESTAPILLA COLIMA,CFE,PC020,18.97543573,-103.5335189,0,T1-H1-C09,8,N/A,0,PC019,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.1,-19.47,0
22,ESTAPILLA COLIMA,CFE,PC021,18.97490516,-103.5338369,0,N/A,N/A,N/A,0,PC020,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
23,ESTAPILLA COLIMA,CFE,PC022,18.97429396,-103.5342411,0,T1-H1-C10,16,N/A,0,PC021,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-19.3,-19.32,0
24,ESTAPILLA COLIMA,CFE,PC023,18.97788942,-103.5318828,0,N/A,N/A,N/A,0,PC007,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
25,ESTAPILLA COLIMA,CFE,PC024,18.97829421,-103.5316211,0,T1-H2-C02,16,N/A,0,PC023,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.2,-18.94,0
26,ESTAPILLA COLIMA,CFE,PC025,18.97878822,-103.5312861,0,N/A,N/A,N/A,0,PC024,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
27,ESTAPILLA COLIMA,CFE,PC026,18.97910278,-103.5310744,0,N/A,N/A,N/A,0,PC025,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
