  ,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
0,LAS LAGUNAS COLIMA,CFE,PC295,19.29010,-103.73980,0,N/A,N/A,N/A,0,SITE,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,LAS LAGUNAS COLIMA,CFE,PC296,19.2903,-103.7398,0,N/A,N/A,N/A,0,PC295,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
2,LAS LAGUNAS COLIMA,CFE,PC297,19.2906,-103.7397,0,N/A,N/A,N/A,0,PC296,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
3,LAS LAGUNAS COLIMA,CFE,PC298,19.2907,-103.7396,0,N/A,N/A,N/A,0,PC297,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
4,LAS LAGUNAS COLIMA,CFE,PC299,19.291,-103.7395,0,N/A,N/A,N/A,0,PC298,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
5,LAS LAGUNAS COLIMA,CFE,PC300,19.2914,-103.7394,0,N/A,N/A,N/A,0,PC299,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,LAS LAGUNAS COLIMA,CFE,PC301,19.2917,-103.7393,0,N/A,N/A,N/A,0,PC300,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
7,LAS LAGUNAS COLIMA,CFE,PC302,19.2921,-103.7391,0,N/A,N/A,N/A,0,PC301,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
8,LAS LAGUNAS COLIMA,CFE,PC303,19.2925,-103.739,0,N/A,N/A,N/A,0,PC302,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
9,LAS LAGUNAS COLIMA,CFE,PC304,19.2927,-103.7389,0,N/A,N/A,N/A,0,PC303,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
10,LAS LAGUNAS COLIMA,CFE,PC305,19.2929,-103.7389,0,N/A,N/A,N/A,0,PC304,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,LAS LAGUNAS COLIMA,CFE,PC306,19.2933,-103.7387,0,N/A,N/A,N/A,0,PC305,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
12,LAS LAGUNAS COLIMA,CFE,PC307,19.2934,-103.7387,0,N/A,N/A,N/A,0,PC306,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
13,LAS LAGUNAS COLIMA,CFE,PC308,19.2939,-103.7384,0,N/A,N/A,N/A,0,PC307,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
14,LAS LAGUNAS COLIMA,CFE,PC309,19.2943,-103.7382,0,N/A,N/A,N/A,0,PC308,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
15,LAS LAGUNAS COLIMA,CFE,PC310,19.2948,-103.7379,0,N/A,N/A,N/A,0,PC309,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
16,LAS LAGUNAS COLIMA,CFE,PC311,19.2953,-103.7377,0,N/A,N/A,N/A,0,PC310,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,LAS LAGUNAS COLIMA,CFE,PC312,19.2957,-103.7375,0,N/A,N/A,N/A,0,PC311,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,LAS LAGUNAS COLIMA,CFE,PC313,19.2962,-103.7372,0,N/A,N/A,N/A,0,PC312,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,LAS LAGUNAS COLIMA,CFE,PC314,19.2965,-103.737,0,N/A,N/A,N/A,0,PC313,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
20,LAS LAGUNAS COLIMA,YI,PMN01,19.2968,-103.7368,0,N/A,N/A,N/A,0,PC314,LISTO,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,LAS LAGUNAS COLIMA,CFE,PC315,19.2971,-103.7366,0,N/A,N/A,N/A,0,PMN01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
22,LAS LAGUNAS COLIMA,CFE,PC316,19.2975,-103.7363,0,N/A,N/A,N/A,0,PC315,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
23,LAS LAGUNAS COLIMA,CFE,PC317,19.2977,-103.7361,0,N/A,N/A,N/A,0,CR01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
24,LAS LAGUNAS COLIMA,YI,CR01,19.2976,-103.7362,0,N/A,N/A,N/A,0,PC316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LISTO,LISTO,N/A,N/A,N/A
25,LAS LAGUNAS COLIMA,CFE,PC318,19.2977,-103.7364,0,N/A,N/A,N/A,0,CR01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
26,LAS LAGUNAS COLIMA,CFE,PC319,19.2978,-103.7365,0,N/A,N/A,N/A,0,PC318,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,LAS LAGUNAS COLIMA,CFE,PC320,19.2981,-103.7369,0,N/A,N/A,N/A,0,PC319,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
28,LAS LAGUNAS COLIMA,YI,CR02,19.2985,-103.7376,0,N/A,N/A,N/A,0,PC321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LISTO,LISTO,N/A,N/A,N/A
29,LAS LAGUNAS COLIMA,CFE,PC321,19.2983,-103.7373,0,N/A,N/A,N/A,0,PC320,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,LAS LAGUNAS COLIMA,CFE,PC322,19.2987,-103.7378,0,N/A,N/A,N/A,0,CR02,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
31,LAS LAGUNAS COLIMA,CFE,PC323,19.2982,-103.7379,0,N/A,N/A,N/A,0,CR02,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
32,LAS LAGUNAS COLIMA,CFE,PC324,19.2987,-103.7375,0,N/A,N/A,N/A,0,CR02,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,LAS LAGUNAS COLIMA,CFE,PC325,19.2991,-103.7373,0,N/A,N/A,N/A,0,PC324,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
34,LAS LAGUNAS COLIMA,CFE,PC326,19.2995,-103.737,0,N/A,N/A,N/A,0,PC325,LISTO,LISTO,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
