N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
0,SAUCITO TECOMAN,YI,SITE,18.86528,-103.80083,0,N/A,N/A,N/A,0,-,LISTO,LISTO,-,-,-,-,-,-,,N/A,N/A,N/A
1,SAUCITO TECOMAN,CFE,PC001,18.8654,-103.8009,0,H1-C01,8,N/A,0,SITE,LISTO,LISTO,-,-,-,-,-,-,,-20.6,-,-
2,SAUCITO TECOMAN,CFE,PC002,18.8656,-103.8015,0,H1-C10,8,N/A,0,PC001,LISTO,LISTO,-,-,-,-,-,-,,-20.6,-,-
3,SAUCITO TECOMAN,CFE,PC003,18.866,-103.8013,0,H1-C11,8,N/A,0,PC002,LISTO,LISTO,-,-,-,-,-,-,,-20.1,-,-
4,SAUCITO TECOMAN,CFE,PC004,18.8665,-103.8011,0,H1-C12,8,N/A,0,PC003,LISTO,LISTO,-,-,-,-,-,-,,-20,-,-
5,SAUCITO TECOMAN,CFE,PC005,18.8668,-103.8009,0,H1-C13,8,N/A,0,PC004,LISTO,LISTO,-,-,-,-,-,-,,-20,-,-
6,SAUCITO TECOMAN,CFE,PC006,18.8658,-103.8007,0,H1-C14,8,N/A,0,PC001,LISTO,LISTO,-,-,-,-,-,-,,-20.1,-,-
7,SAUCITO TECOMAN,CFE,PC007,18.8662,-103.8005,0,H1-C15,8,N/A,0,PC006,LISTO,LISTO,-,-,-,-,-,-,,-20,-,-
8,SAUCITO TECOMAN,CFE,PC008,18.8666,-103.8003,0,H1-C16,8,N/A,0,PC007,LISTO,LISTO,-,-,-,-,-,-,,-20,-,-
9,SAUCITO TECOMAN,CFE,PC009,18.8653,-103.8006,0,N/A,N/A,N/A,0,PC001,LISTO,LISTO,-,-,-,-,-,-,,N/A,N/A,N/A
10,SAUCITO TECOMAN,CFE,PC010,18.8651,-103.8003,0,H1-C02,8,N/A,0,PC009,LISTO,LISTO,-,-,-,-,-,-,,-19.9,-,-
11,SAUCITO TECOMAN,CFE,PC011,18.8648,-103.7997,0,H1-C03,8,N/A,0,PC010,LISTO,LISTO,-,-,-,-,-,-,,-20.8,-,-
12,SAUCITO TECOMAN,CFE,PC012,18.8652,-103.7995,0,H1-C04,8,N/A,0,PC011,LISTO,LISTO,-,-,-,-,-,-,,-20.7,-,-
13,SAUCITO TECOMAN,CFE,PC013,18.8657,-103.7993,0,N/A,N/A,N/A,0,PC012,LISTO,LISTO,-,-,-,-,-,-,,N/A,N/A,N/A
14,SAUCITO TECOMAN,CFE,PC014,18.8661,-103.7991,0,H1-C05,8,N/A,0,PC013,LISTO,LISTO,-,-,-,-,-,-,,-20.7,-,-
15,SAUCITO TECOMAN,CFE,PC015,18.8649,-103.8003,0,H1-C06,8,N/A,0,PC010,LISTO,LISTO,-,-,-,-,-,-,,-20.5,-,-
16,SAUCITO TECOMAN,CFE,PC016,18.8655,-103.8001,0,H1-C07,8,N/A,0,PC010,LISTO,LISTO,-,-,-,-,-,-,,-20.2,-,-
17,SAUCITO TECOMAN,CFE,PC017,18.8659,-103.7999,0,H1-C08,8,N/A,0,PC016,LISTO,LISTO,-,-,-,-,-,-,,-19,-,-
18,SAUCITO TECOMAN,CFE,PC018,18.8663,-103.7997,0,H1-C09,8,N/A,0,PC017,LISTO,LISTO,-,-,-,-,-,-,,-19,-,-
