N°,PROYECTO,PROPIETARIO,ID POSTE,LATITUD,LONGITUD,STATUS,ID CAJA,ID CE,ACTIVE CLIENTS,CONECTED TO
0,LA PLACITA,YI,SITE,18.53219,-103.59109,0,N/A,N/A,0,-
1,LA PLACITA,CFE,PC001,18.531902,-103.591046,0,N/A,N/A,0,SITE
2,LA PLACITA,CFE,PC002,18.531423,-103.590955,0,T1-H1-C01,N/A,0,PC001
3,LA PLACITA,CFE,PC003,18.531536,-103.590386,0,N/A,N/A,0,PC002
4,LA PLACITA,CFE,PC004,18.531695,-103.589864,0,T1-H1-C04,N/A,0,PC003
5,LA PLACITA,CFE,PC005,18.531799,-103.589342,0,N/A,N/A,0,PC004
6,LA PLACITA,CFE,PC006,18.531834,-103.589209,0,N/A,N/A,0,PC005
7,LA PLACITA,CFE,PC007,18.531957,-103.588734,0,T1-H2-C01,CE-H3-01,0,PC006
8,LA PLACITA,CFE,PC008,18.532062,-103.588307,0,N/A,N/A,0,PC007
9,LA PLACITA,CFE,PC009,18.532212,-103.587728,0,T1-H4-C01,N/A,0,PC008
10,LA PLACITA,CFE,PC010,18.532343,-103.587168,0,N/A,N/A,0,PC009
11,LA PLACITA,CFE,PC011,18.532474,-103.586618,0,T1-H4-C03,N/A,0,PC010
12,LA PLACITA,CFE,PC012,18.532623,-103.586001,0,N/A,N/A,0,PC011
13,LA PLACITA,CFE,PC013,18.532791,-103.585412,0,T1-H4-C05,N/A,0,PC012
14,LA PLACITA,CFE,PC014,18.532904,-103.5849,0,N/A,N/A,0,PC013
15,LA PLACITA,CFE,PC015,18.533027,-103.584387,0,T1-H4-C07,N/A,0,PC014
16,LA PLACITA,CFE,PC016,18.533104,-103.583828,0,N/A,N/A,0,PC015
17,LA PLACITA,CFE,PC017,18.533217,-103.583258,0,N/A,N/A,0,PC016
18,LA PLACITA,CFE,PC018,18.533305,-103.582888,0,T1-H4-C08,N/A,0,PC017
19,LA PLACITA,CFE,PC019,18.533497,-103.581996,0,N/A,N/A,0,PC018
20,LA PLACITA,CFE,PC020,18.533788,-103.581028,0,T1-H5-C01,N/A,0,PC019
21,LA PLACITA,CFE,PC021,18.531255,-103.591535,0,N/A,N/A,0,PC002
22,LA PLACITA,CFE,PC022,18.531141,-103.592038,0,T1-H1-C02,N/A,0,PC021
23,LA PLACITA,CFE,PC023,18.530992,-103.592607,0,N/A,N/A,0,PC022
24,LA PLACITA,CFE,PC024,18.530905,-103.593082,0,T1-H1-C03,N/A,0,PC023
