('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')

[('COLI01-FIBR-COLI-ARIS000', 'COLIMA', 'COLIMA', 'COLIMA', 'OFICINA CENTRAL', 'CENTRAL', 'SWITCH', 'ARISTA 7050S_64_F', 'FIBRA', '10.0.10.0', '19.246546', '-103.709394', '000', 'L0', '-', '000-COLI01-CENTRAL-FIBR-ARISTA 7050S_64_F-OFICINA CENTRAL-COLI-000'),
["COLI01-FIBR-TEPA-CPE2024", "COLIMA", "COLIMA", "TEPAMES", "AP_SecundariaTepames", "TEPAMES CENTRAL", "APP", "CPE220", "FIBRA", "10.0.101.177", "19.10242687", "-103.6205264", "024", "LAPP", "LOL-000", "024-COLI01-TEPAMES CENTRAL-FIBR-CPE220-AP_SecundariaTepames-COLI-024"]

host,metric,latitude,longitude,afiliacion,ip,location
 20-COL-T.COMPLEJOSEGU-VVU-AXIS- Q6155-E-PTZ-Entrada a Miradores-COL01-VVU-COLI-020,5,18.92974,-103.963,COL01-VVU-ARME-001,10.21.65.17,ARMERIA
 24-COL-T.COMPLEJOSEG-VVU-AXIS- Q6155-E-PTZ-Heroes Bravo-COL01-VVU-COLI-024,5,18.94715,-103.967,COL01-VVU-ARME-001,10.21.65.32,ARMERIA
 33-COL-T.CUMBRE-VVU-AXIS- Q6155-E-PTZ-Gta Chac-COL01-VVU-COLI-033,5,19.319392,-103.75969,COL01-VVU-COMA-001,10.21.80.10,COMALA
 3-COL-T.LAMARINA-VVU-AXIS- Q6155-E-PTZ-Gasolinera Cortez-COL01-VVU-COLI-003,5,19.211881,-103.809066,COL01-VVU-COQU-001,10.21.63.118,COQUIMATLAN
 36-COL-T.LAMARINA-VVU-AXIS- Q6155-E-PTZ-El Trebol-COL01-VVU-COLI-036,3,19.30268135,-103.6450818,COL01-VVU-CUAU-001,10.21.61.215,CUAUHTEMOC
 49-COL-T.LAMARINA-VVU-AXIS- Q6155-E-PTZ-Anastacio Brizuela Sostenes Rocha-COL01-VVU-COLI-049,5,19.36150471,-104.0913475,COL01-VVU-MINA-001,10.21.75.11,MINATITLAN
 53-COL-T.LAMARINA-VVU-AXIS- Q6155-E-PTZ-Isenco-COL01-VVU-COLI-053,4,18.75051925,-103.7196855,COL01-VVU-TECO-001,10.21.40.150,TECOMAN
 06-COM-T.CAMPO4-VVU-AXIS- Q6155-E-PTZ-Entrada a Suchitlan-COL01-VVU-COMA-006,5,19.240572,-103.756665,COL01-VVU-VILL-001,10.21.50.34,VILLA
 02-COM-T.COMALA-VVU-AXIS- Q6155-E-PTZ-Libramiento Norte a Suchitlan-COL01-VVU-COMA-002,5,18.93568,-103.964,COL01-VVU-ARME-002,10.21.65.19,ARMERIA
 10-COM-T.COMALA-VVU-AXIS- Q6155-E-PTZ-Jardin Comala-COL01-VVU-COMA-010,5,19.274148,-103.715164,COL01-VVU-COLI-002,10.21.61.55,COLIMA
 03-COQ-T.COQUIMATLAN-VVU-AXIS- Q6155-E-PTZ-Salida a Jala-COL01-VVU-COQU-003,5,19.343956,-103.741259,COL01-VVU-COMA-002,10.21.80.12,COMALA
 07-COQ-T.COQUIMATLAN-VVU-AXIS- Q6155-E-PTZ-Crucero del Chical-COL01-VVU-COQU-007,5,19.206011,-103.807459,COL01-VVU-COQU-002,10.21.63.120,COQUIMATLAN
 06-CUA-T.MONTITLAN-VVU-AXIS- Q6155-E-PTZ-Carr. Chiapa. Ocotillo-COL01-VVU-CUAU-006,5,18.99203677,-103.7349281,COL01-VVU-IXTL-002,10.21.90.30,IXTLAHUACAN
 03-CUA-T.PCCUAU-VVU-AXIS- Q6155-E-PTZ-Crucero al Aeropuerto-COL01-VVU-CUAU-003,5,19.1211478,-104.39168,COL01-VVU-MANZ-002,10.21.37.31,MANZANILLO
 10-COL-T.CUMBRE-VVU-AXIS- Q6155-E-PTZ-Jardin El Trapiche-COL01-VVU-COLI-010,4,18.756102,-103.724521,COL01-VVU-TECO-002,10.21.40.154,TECOMAN
 05-IXT-T.ALCOMUN-VVU-AXIS- Q6155-E-PTZ-Salida a la Presa-COL01-VVU-IXTL-005,5,19.26487453,-103.736608,COL01-VVU-VILL-002,10.21.62.82,VILLA
