PROYECTO,POSTE,LATITUD,LONGITUD,ID TERMINAL
VILLA VICTORIA,PC007,18.757925,-103.370481,T1-H1-C01
VILLA VICTORIA,PC009,18.757718,-103.371334,T1-H1-C02
VILLA VICTORIA,PC022,18.756762,-103.371123,T1-H1-C03
VILLA VICTORIA,PC027,18.756401,-103.372819,T1-H1-C04
VILLA VICTORIA,PC023,18.756299,-103.371199,T1-H1-C05
VILLA VICTORIA,PC013,18.757269,-103.373051,T1-H1-C06
VILLA VICTORIA,PC028,18.757856,-103.373317,T1-H1-C07
VILLA VICTORIA,PC029,18.756821,-103.372985,T1-H1-C08
VILLA VICTORIA,PC017,18.757555,-103.374691,T1-H1-C09
VILLA VICTORIA,PC020,18.757705,-103.375485,T1-H1-C10
VILLA VICTORIA,PC031,18.757277,-103.369513,T1-H2-C01
VILLA VICTORIA,PC046,18.757366,-103.370318,T1-H2-C02
VILLA VICTORIA,PC047,18.757162,-103.36892,T1-H2-C03
VILLA VICTORIA,PC049,18.757002,-103.367969,T1-H2-C04
VILLA VICTORIA,PC033,18.756575,-103.369558,T1-H2-C05
VILLA VICTORIA,PC051,18.756633,-103.3701,T1-H2-C06
VILLA VICTORIA,PC050,18.756542,-103.369083,T1-H2-C07
VILLA VICTORIA,PC035,18.755877,-103.370222,T1-H2-C08
VILLA VICTORIA,PC040,18.753585,-103.370263,T1-H2-C09
VILLA VICTORIA,PC043,18.752612,-103.370022,T1-H2-C10
VILLA VICTORIA,PC005,18.758084,-103.369597,T1-H3-C01
VILLA VICTORIA,PC052,18.758541,-103.369678,T1-H3-C02
VILLA VICTORIA,PC058,18.758544,-103.370668,T1-H3-C03
VILLA VICTORIA,PC066,18.759353,-103.370887,T1-H3-C04
VILLA VICTORIA,PC061,18.758728,-103.372358,T1-H3-C05
VILLA VICTORIA,PC064,18.759436,-103.371524,T1-H3-C06
VILLA VICTORIA,PC054,18.759259,-103.369681,T1-H3-C07
VILLA VICTORIA,PC055,18.759153,-103.368934,T1-H3-C08
VILLA VICTORIA,PC056,18.759573,-103.369214,T1-H3-C09
VILLA VICTORIA,PC002,18.758592,-103.368877,T1-H4-C01
VILLA VICTORIA,PC003,18.758146,103.368887,T1-H4-C02
VILLA VICTORIA,PC068,18.758238,-103.368131,T1-H4-C03
VILLA VICTORIA,PC078,18.758692,-103.368211,T1-H4-C04
VILLA VICTORIA,PC079,18.758762,-103.367817,T1-H4-C05
VILLA VICTORIA,PC081,18.758888,-103.367142,T1-H4-C06
VILLA VICTORIA,PC083,18.759582,-103.367167,T1-H4-C07
VILLA VICTORIA,PC069,18.758308,103.367716,T1-H4-C08
VILLA VICTORIA,PC071,18.758435,-103.367057,T1-H4-C09
VILLA VICTORIA,PC073,18.758574,-103.366224,T1-H5-C01
VILLA VICTORIA,PC085,18.759089,-103.365728,T1-H5-C02
VILLA VICTORIA,PC087,18.759651,-103.365265,T1-H5-C03
VILLA VICTORIA,PC091,18.758627,-103.363927,T1-H5-C04
VILLA VICTORIA,PC093,18.757956,-103.363885,T1-H5-C05
VILLA VICTORIA,PC094,18.758118,-103.365247,T1-H5-C06
VILLA VICTORIA,PC096,18.757171,-103.365753,T1-H5-C07
VILLA VICTORIA,PC097,18.757381,-103.364489,T1-H5-C08
VILLA VICTORIA,PC098,18.757689,-103.364177,T1-H5-C09
VILLA VICTORIA,PMN03,18.756482,-103.364397,T1-H6-C01
VILLA VICTORIA,PC099,18.756231,-103.36443,T1-H6-C02
VILLA VICTORIA,PC110,18.756384,-103.365932,T1-H6-C03
VILLA VICTORIA,PC111,18.756682,-103.366041,T1-H6-C04
VILLA VICTORIA,PC105,18.756036,-103.365803,T1-H6-C05
VILLA VICTORIA,PC107,18.75529,-103.366015,T1-H6-C06
VILLA VICTORIA,PC109,18.754562,-103.366251,T1-H6-C07
